,IC(%),t-value,IC+(%),IC-(%),RankIC(%),ICIR,Winning Rate(%),IC_Min(%),IC_Max(%)
mom_longEndMom_160D,2.6547243583648212,11.582196866606143,0.6740252024568024,2.019455150066397,4.5699991667202555,0.4066694553658509,67.26907630522089,-20.189550666455396,23.253659213559743
,IC(%),t-value,IC+(%),IC-(%),RankIC(%),ICIR,Winning Rate(%),IC_Min(%),IC_Max(%)
mom_longEndMom_160D,2.6547243583648212,11.582196866606143,0.6740252024568024,2.019455150066397,4.5699991667202555,0.4066694553658509,67.26907630522089,-20.189550666455396,23.253659213559743
,IC(%),t-value,IC+(%),IC-(%),RankIC(%),ICIR,Winning Rate(%),IC_Min(%),IC_Max(%)
mom_longEndMom_160D,2.6547243583648212,11.582196866606143,0.6740252024568024,2.019455150066397,4.5699991667202555,0.4066694553658509,67.26907630522089,-20.189550666455396,23.253659213559743
,IC(%),t-value,IC+(%),IC-(%),RankIC(%),ICIR,Winning Rate(%),IC_Min(%),IC_Max(%)
mom_longEndMom_160D,2.826474356878677,10.66839963128632,0.7648832519205156,2.0826172065383117,4.6440491049835835,0.38310159841870217,66.66666666666666,-24.384848117277876,26.729938310209505
,IC(%),t-value,IC+(%),IC-(%),RankIC(%),ICIR,Winning Rate(%),IC_Min(%),IC_Max(%)
mom_longEndMom_160D,2.826474356878677,10.66839963128632,0.7648832519205156,2.0826172065383117,4.6440491049835835,0.38310159841870217,66.66666666666666,-24.384848117277876,26.729938310209505
,IC(%),t-value,IC+(%),IC-(%),RankIC(%),ICIR,Winning Rate(%),IC_Min(%),IC_Max(%)
mom_longEndMom_160D,2.826474356878677,10.66839963128632,0.7648832519205156,2.0826172065383117,4.6440491049835835,0.38310159841870217,66.66666666666666,-24.384848117277876,26.729938310209505
,IC(%),t-value,IC+(%),IC-(%),RankIC(%),ICIR,Winning Rate(%),IC_Min(%),IC_Max(%)
mom_longEndMom_160D,2.826474356878677,10.66839963128632,0.7648832519205156,2.0826172065383117,4.6440491049835835,0.38310159841870217,66.66666666666666,-24.384848117277876,26.729938310209505
,IC(%),t-value,IC+(%),IC-(%),RankIC(%),ICIR,Winning Rate(%),IC_Min(%),IC_Max(%)
mom_longEndMom_160D,2.826474356878677,10.66839963128632,0.7648832519205156,2.0826172065383117,4.6440491049835835,0.38310159841870217,66.66666666666666,-24.384848117277876,26.729938310209505
,IC(%),t-value,IC+(%),IC-(%),RankIC(%),ICIR,Winning Rate(%),IC_Min(%),IC_Max(%)
mom_longEndMom_160D,2.826474356878677,10.66839963128632,0.7648832519205156,2.0826172065383117,4.6440491049835835,0.38310159841870217,66.66666666666666,-24.384848117277876,26.729938310209505
